RouteNumber,Stop,latitude,longitude,StopNumber
9,Exchequer Street Dublin City South,53.3425679,-6.264597044,1357
9,College Green Dublin City South,53.34439937,-6.261368666,1359
9,Westmoreland Street Dublin City South,53.34627445,-6.259279547,319
9,O'Connell St Upper Dublin,53.35134358,-6.261115937,281
9,Parnell Square West Rotunda,53.35257455,-6.264175495,4
9,Western Way Phibsborough,53.35504067,-6.269979262,194
9,Broadstone Phibsborough,53.35501178,-6.273570967,195
9,Fire Station Phibsborough,53.35688387,-6.273750749,196
9,Monck Place Phibsborough,53.3589526,-6.273231323,197
9,Phibsborough SC Phibsborough,53.3616254,-6.272837845,198
9,Munster Street Phibsborough,53.36362182,-6.27229118,199
9,Prospect Way Glasnevin,53.36742272,-6.271596408,200
9,Botanic Road Glasnevin,53.36829115,-6.270118575,201
9,Mobhi Road Glasnevin,53.3706702,-6.268068478,148
9,Tolka Bridge Glasnevin,53.37313863,-6.265984453,149
9,Na Fianna GAA Club Glasnevin,53.37565882,-6.264995229,150
9,Ballymun Road Glasnevin,53.37943894,-6.266585288,27
9,Hampstead Avenue Glasnevin,53.38157864,-6.266002339,28
9,Albert College Park Whitehall,53.38348823,-6.265669114,29
9,DCU Whitehall,53.38496651,-6.265338358,4680
9,Albert College Ct Wadelai,53.38638551,-6.265265623,90
9,Ballymun Road NS Wadelai,53.38842787,-6.265408142,91
9,Glasnevin Drive Wadelai,53.38989032,-6.271422912,129
9,Glasnevin Park Glasnevin North,53.39009206,-6.274181249,130
9,Willow Park Road Glasnevin North,53.3903859,-6.278349231,131
9,Beneavin Road Glasnevin,53.38843038,-6.280487917,164
9,Beneavin Park Glasnevin,53.38903484,-6.283771218,165
9,Beneavin School Glasnevin,53.38958358,-6.286305075,166
9,Collins Drive Finglas,53.39006654,-6.290525659,7458
9,McKee Road Finglas,53.39130451,-6.29412978,4479
9,Clancy Avenue Finglas,53.3924081,-6.292732395,4376
9,Sycamore Road Finglas,53.39448926,-6.289942459,4377
9,Sycamore Park Finglas,53.3951676,-6.290862655,4890
9,Oakwood Road Finglas,53.39726523,-6.292357456,4369
9,Melville Road Charlestown (Dublin),53.39983645,-6.293036525,6219
9,Melville Charlestown (Dublin),53.4020463,-6.298617998,6229
9,Charlestown SC Charlestown (Dublin),53.40295143,-6.304116547,7131
11,Blackthorn Road Sandyford,53.27632285,-6.216927308,449
11,Heather Road Sandyford,53.27509408,-6.213499736,450
11,Carmanhall Road Sandyford,53.27673388,-6.207777935,3181
11,Blackthorn Drive Sandyford,53.27830614,-6.207727144,451
11,Stillorgan Luas Kilmacud,53.28021816,-6.210556563,447
11,St Raphaela's Road Kilmacud,53.28357698,-6.209171244,5045
11,Whately Place Kilmacud,53.2872825,-6.208131401,4460
11,Kilmacud Park Kilmacud,53.28858632,-6.207566728,453
11,South Avenue Kilmacud,53.2891161,-6.209929622,454
11,Dale Drive Mount Merrion,53.28906435,-6.212466739,4475
11,Mount Anville NS Kilmacud,53.28878709,-6.217968275,3023
11,Drummartin Park Kilmacud,53.28897598,-6.222190422,3024
11,Drummartin Close Kilmacud,53.2890015,-6.22571437,3025
11,Drummartin Road Kilmacud,53.2908506,-6.227962734,3026
11,Knocknashee Goatstown,53.29219677,-6.229032185,3027
11,Goatstown Road Goatstown,53.29470698,-6.231628668,3028
11,Goatstown Avenue Goatstown,53.29630436,-6.23327288,3029
11,Larchfield Road Goatstown,53.29915721,-6.233515275,3030
11,Roebuck Downs Clonskeagh,53.30142215,-6.233511828,3031
11,White Oaks Clonskeagh,53.30447301,-6.235591698,875
11,Gledswood Drive Clonskeagh,53.30522321,-6.237091219,876
11,Clonskeagh Road Clonskeagh,53.30815337,-6.237090562,878
11,Annsbrook Clonskeagh,53.30950423,-6.237875329,879
11,Richview Office Pk Clonskeagh,53.31231379,-6.238840114,880
11,Clonskeagh Milltown,53.31456354,-6.238417367,881
11,Clonskeagh Hospital Milltown,53.31670464,-6.239154742,882
11,Eglinton Road Milltown,53.31768517,-6.241035618,883
11,Norwood Park Milltown,53.31999696,-6.244212847,884
11,Hollybank Ave Lower Milltown,53.32125894,-6.24629264,885
11,Merton Drive Ranelagh,53.32259738,-6.248684587,886
11,Ranelagh Ranelagh,53.32420772,-6.252461853,887
11,Chelmsford Road Ranelagh,53.32558344,-6.252495721,903
11,Appian Way Ranelagh,53.32741742,-6.248847549,904
11,Leeson Street Upr Ranelagh,53.32881078,-6.247634306,906
11,Dartmouth Road Ranelagh,53.32971938,-6.250750127,907
11,Grand Parade Dublin City South,53.33115426,-6.252372973,908
11,Fitzwilliam Place Dublin City South,53.3331477,-6.254078391,909
11,Embassy of Malta Dublin City South,53.33518204,-6.256098003,786
11,Dawson Street Dublin City South,53.3408598,-6.258403863,793
11,Westmoreland Street Dublin City South,53.34564561,-6.259305167,320
11,O'Connell St Upper Dublin,53.35156088,-6.261227292,278
11,Parnell Square West Rotunda,53.35339214,-6.265389106,10
11,Upper Dorset Street Phibsborough,53.35710756,-6.264381812,12
11,Dorset Street Lower Phibsborough,53.35853124,-6.262776563,14
11,Innisfallen Parade Ballybough,53.36026673,-6.260978021,15
11,Drumcondra Rail Stn Drumcondra,53.36307835,-6.258399329,17
11,Dargle Road Drumcondra,53.36585593,-6.255956802,18
11,Botanic Avenue Drumcondra,53.36723492,-6.255600005,19
11,DCU St Patrick's Drumcondra,53.37010124,-6.254310557,21
11,DCU St Patrick's Drumcondra,53.37155352,-6.253439576,7602
11,Home Farm Road Drumcondra,53.3735036,-6.252803714,22
11,Ferguson Road Drumcondra,53.37422832,-6.256260975,23
11,Walsh Road Drumcondra,53.37513321,-6.260372326,24
11,Rathlin Road Glasnevin,53.37589949,-6.263617681,25
11,Ballymun Road Glasnevin,53.37943894,-6.266585288,27
11,Hampstead Avenue Glasnevin,53.38157864,-6.266002339,28
11,Albert College Park Whitehall,53.38348823,-6.265669114,29
11,DCU Whitehall,53.38496651,-6.265338358,4680
11,St Pappin's Road Wadelai,53.38603321,-6.26885806,31
11,Stormanstown Road Wadelai,53.38619558,-6.271377134,32
11,Glasnevin Drive Wadelai,53.38871795,-6.271771183,33
11,Ballyknockan Road Glasnevin North,53.38887684,-6.275297977,7220
11,St Pappin's Road Wadelai,53.38637274,-6.274301636,6122
13,Grange Nangor,53.33008897,-6.451082851,7229
13,Pfizer Ireland Nangor,53.32666579,-6.439451916,4617
13,Grange Castle Park Nangor,53.32502939,-6.43940653,4555
13,Grange Castle Nangor,53.31936294,-6.434299754,4576
13,Castlegrange Green Nangor,53.32003317,-6.427175257,3418
13,Rath Gael Estate Nangor,53.32037847,-6.424055454,3419
13,St Cuthberts Road Nangor,53.32152116,-6.422782331,2374
13,Old Castle Drive Nangor,53.32408235,-6.426155601,2146
13,Kilmahuddrick Ave Nangor,53.32684677,-6.425183216,2147
13,Kilcronan Estate Nangor,53.32879328,-6.424210663,2148
13,Deansrath Grove Nangor,53.32956827,-6.421644822,2149
13,Melrose Nangor,53.32873007,-6.416721293,2150
13,Lindisfarne Drive Nangor,53.32861452,-6.414113266,2151
13,Bawnogue Road Nangor,53.32751098,-6.411556825,2152
13,Newlife Church Nangor,53.3249874,-6.41238618,2153
13,Lealand Drive Nangor,53.32342346,-6.410357624,2154
13,Alpine Heights Nangor,53.32285802,-6.408397154,6245
13,Fonthill Road Clondalkin,53.32015441,-6.405840938,4671
13,St John's Estate Clondalkin,53.3175477,-6.401120024,4672
13,Boot Road Clondalkin,53.31737402,-6.395589949,3465
13,Boot Road Clondalkin,53.31809713,-6.395185696,4673
13,Moyle Park College Clondalkin,53.31972686,-6.394734188,2172
13,Garda Station Clondalkin,53.32322075,-6.393882469,2159
13,Clondalkin Village Clondalkin,53.32234722,-6.393089778,4409
13,Watery Lane Clondalkin,53.32491655,-6.390335938,4550
13,Woodford Walk Clondalkin,53.32649702,-6.38292024,4551
13,Woodford Grove Clondalkin,53.32386835,-6.379296802,1965
13,Woodford Hill Clondalkin,53.32054309,-6.377996797,1966
13,Monastery Gate Newlands (Dublin),53.31835705,-6.375873214,7781
13,Mount Talbot Clondalkin,53.31793252,-6.372422073,1975
13,Red Cow Hotel Fox & Geese,53.32054682,-6.361830065,1977
13,Robin Hood Ind Est Fox & Geese,53.32212215,-6.357431566,1978
13,J F Kennedy Drive Fox & Geese,53.32492587,-6.349577497,1980
13,Kylemore Luas Bluebell,53.32648676,-6.344818257,1981
13,Kylemore Road Junc Bluebell,53.32722995,-6.342027074,1982
13,Carriglea Ind Est Bluebell,53.32808884,-6.338510647,4406
13,Bluebell Luas Bluebell,53.3294445,-6.333893794,1984
13,Blackhorse Luas Bluebell,53.33292368,-6.329448811,1985
13,Tyrconnell Road Inchicore,53.33535541,-6.327236505,1986
13,Oblates Church Inchicore,53.33628987,-6.325938587,1987
13,Hampton Court Inchicore,53.33826043,-6.322887984,1988
13,Emmet Road Inchicore,53.3397065,-6.318986809,1989
13,Myra Cottages Inchicore,53.3404728,-6.314691579,1990
13,Inchicore Library Inchicore,53.34065448,-6.309112765,1992
13,Old Kilmainham Kilmainham,53.3408537,-6.304779666,1993
13,Mount Brown Kilmainham,53.34142397,-6.299380565,1994
13,Basin Street Lower Kilmainham,53.34267521,-6.293218203,1995
13,James Street James's Gate,53.34356004,-6.288481954,1996
13,Thomas Street James's Gate,53.34357106,-6.285492687,1997
13,Bridgefoot Street Liberties,53.34313961,-6.28049382,1998
13,Francis St Junction Liberties,53.34311923,-6.276589644,1999
13,High Street Dublin City South,53.34331052,-6.273653355,2001
13,Lord Edward Street Dublin City South,53.34377079,-6.269444426,2002
13,College Green Dublin City South,53.34439937,-6.261368666,1359
13,Westmoreland Street Dublin City South,53.34627445,-6.259279547,319
